,Argentina,Australia,Brazil,Chile,France,Great Britain,Indonesia,Japan,Malaysia,Mexico,Russia,Singapore,South Korea,Spain,Turkey,United States
Argentina,1.0,0.3024389121366575,0.03255659203283512,0.38357213969888204,-0.3656778914086023,-0.08462521940364076,-0.5468891817070864,-0.6508143979950942,0.14613783209393172,0.31056559946700957,-0.6493844115983152,0.15627952265171485,-0.43082858046614314,-0.01433035268868843,-0.5572315258051821,0.15479208124146449
Australia,-0.3617204595297825,1.0,-0.4534754545175188,-0.4543033429198595,-0.39711407761581174,0.4141896081823767,-0.6991243595118501,-0.5702777070049998,0.36244292913360543,-0.43683307027265394,-0.7723094652365021,0.4782162549936273,-0.4136172689936246,-0.4993211936227133,-0.642001779154524,0.643962855794574
Brazil,0.21087155967660842,0.26058784217633046,1.0,0.07540018678738525,-0.3516823745837976,0.09140046583650596,-0.4221058120004777,-0.478620914659041,0.22108959752082036,0.09328450508957342,-0.551771684731563,0.06869698913543554,-0.3321196825920667,-0.1580631989389214,-0.5515483894703941,0.16256259326360678
Chile,0.4289682944252339,0.12833682874748786,-0.010805681684593837,1.0,-0.386388128550728,-0.08555279588564657,-0.4798201854812918,-0.5189347640285158,0.10092502421620497,0.44123256467112526,-0.5801962053407812,0.03923865195901621,-0.42822017831096604,0.025213914873711496,-0.5743227126959143,0.1840511089823892
France,-0.08601681667970573,0.17520918423835496,-0.2696594891378927,-0.1966658075157799,1.0,0.09223458716102995,-0.3054510109645858,-0.35306496503209983,0.14591687667438513,0.004550655188121255,-0.38285774936411343,0.06916127361962476,-0.3021848178382234,0.03068438081115854,-0.2252446327142783,0.14570781421314627
Great Britain,-0.28911817664648853,0.6593052066921373,-0.3022987385169216,-0.3595012441775418,-0.2507090748493557,1.0,-0.6609872430117978,-0.6713544106721501,0.30141629869800957,-0.2636934204620047,-0.6878200406054042,0.33111165874945114,-0.3598779963145353,-0.27687711067050635,-0.6213467899443526,0.5259019247708195
Indonesia,-0.21942599095338822,0.11229451090075937,-0.24801289593656772,-0.25872599609407176,-0.23793472776576707,-0.11364657149190371,1.0,-0.2551634882460976,0.34886757596419105,-0.16026576049435426,-0.2480913260662616,0.11224407208802234,-0.0925180924336817,-0.25615511950553627,-0.2349387239748908,0.07473881619559697
Japan,-0.3250564772328466,-0.17561991054503157,-0.05703865379830919,-0.08132444100633851,-0.0741824734587262,-0.22760327105508904,0.21274503552980306,1.0,-0.11408428128014148,-0.04022528665148717,0.08451006485567869,0.0038910058752118504,0.09767433012935178,-0.14118669186699417,0.09327784647286108,-0.22044817567266284
Malaysia,-0.5838702009738932,0.43787584467183027,-0.7160825775618949,-0.5941813655237747,-0.6512391454705253,-0.2655553116305742,-0.17754905898330708,-0.5840880629031484,1.0,-0.5695876280314198,-0.8136088409655349,0.6600742393217678,-0.09085585803651841,-0.7768683477834037,-0.7688887380004199,0.22416661183077446
Mexico,0.3488695471106278,0.23479133643957284,-0.2005233165172644,0.30029536454418104,-0.4442408191931304,-0.11271995344007002,-0.6317792463347298,-0.6427205210128402,0.1847977863416278,1.0,-0.7069217439002924,0.10512004641681783,-0.3063845645722343,-0.14092981743672062,-0.5881397343254946,0.36115317930205926
Russia,-0.07122407031329425,-0.525289063144772,0.009528259798136873,0.10002440724476458,0.14604662776491173,-0.3044912373544324,0.600463758366115,0.3691452440328482,-0.43762080545423965,0.15769142964726535,1.0,-0.36518779684731295,0.15085258455134853,0.0745489254217363,0.3764043802587118,-0.435881718749511
Singapore,-0.4986359730855363,0.42817789375011506,-0.6036283141328922,-0.4254689477997229,-0.4959779593224276,-0.00395061379250361,-0.5602649385067944,-0.36060020324672415,0.671629941788503,-0.45922766573518037,-0.7494200631407222,1.0,-0.15246774515548722,-0.6911032630714768,-0.7530665082968664,0.24749650055890915
South Korea,-0.3139073302158293,0.12391207113211711,-0.4025840940220151,-0.3818653768691398,-0.42385006457869556,-0.06995568903235605,-0.264814644445615,-0.2253399765993367,0.39496517072149206,-0.03691522534764213,-0.48472498227079486,0.2752031442943157,1.0,-0.4043492522917129,-0.4289386077519244,0.10845496130523458
Spain,0.16147200213706792,0.06333087683607497,-0.07837215545354392,0.09711718382470202,0.1310744629291004,0.052105208240289747,-0.31637228777416504,-0.3575942642522012,-0.05279438577372764,0.07102654373132167,-0.3665904590167637,-0.055474477371937336,-0.31927234580914843,1.0,-0.2296155335248824,-0.04917591147234002
Turkey,-0.16624736708592702,-0.05709839837346786,-0.3087342053180837,-0.16890439840500004,0.029608179240496524,-0.18589556603835744,0.018209410689374983,-0.10058541035791824,0.019761712145203503,-0.11079742239611301,-0.013637936959086217,-0.11316915630650537,-0.1662365662362637,-0.07605228837341604,1.0,-0.22402671473667302
United States,-0.3746173756854585,0.6692069616295198,-0.4964266605499408,-0.40394930809275054,-0.5010161134540305,0.3730982866250414,-0.6843833897547613,-0.6652501352051887,0.321877207005168,-0.061807314687055026,-0.7680725751994271,0.36259440471978555,-0.4543422216766628,-0.48960763834396404,-0.7239711441403871,1.0
