,Argentina,Australia,Brazil,Chile,France,Great Britain,Indonesia,Japan,Malaysia,Mexico,Russia,Singapore,South Korea,Spain,Turkey,United States
Argentina,1.0,-0.16268311318002726,0.1948554129539195,0.41201273560049323,-0.003257801435088581,-0.17993609081126416,-0.13704314115946503,-0.13214746532084343,-0.2697705491538147,0.29775593892402274,-0.041002488192313,-0.25668220688310805,-0.16094401655049295,0.20017382508396153,-0.06210403379670093,-0.15866855265962276
Australia,-0.16268311318002726,1.0,-0.23317915172499326,-0.29450338044183844,-0.2871446976528027,0.4250058898189204,-0.5175475662505435,-0.5496628997077404,0.3417001519811851,-0.13035141827341445,-0.610866303819708,0.33719804209040294,-0.32945661998804776,-0.3423556167262547,-0.4296044269697228,0.5429888888353906
Brazil,0.1948554129539195,-0.23317915172499326,1.0,0.175744513328001,0.06012510587325204,-0.10884515541641182,0.012694563116458113,0.12001131866401127,-0.32225424508219525,0.026400509008457806,0.13359657649533874,-0.3050608232149561,-0.05114447721415538,0.12168753040262026,0.03903992252759236,-0.21211852612601412
Chile,0.41201273560049323,-0.29450338044183844,0.175744513328001,1.0,0.031023883325037027,-0.21033239206656784,-0.04680964394899423,0.04865095285373666,-0.36937776103251885,0.33912739761340394,0.10013606958087218,-0.3215098663686815,-0.12849570496124407,0.25108751254848083,0.030505971560625733,-0.20420369349115086
France,-0.003257801435088581,-0.2871446976528027,0.06012510587325204,0.031023883325037027,1.0,-0.09859410702628768,0.13017437069078053,0.23963748993229372,-0.37828174122838254,-0.08554673914371569,0.3358843910320878,-0.32631623876998095,-0.015264766271990915,0.2882714240048203,0.2446015866461938,-0.2623613071146742
Great Britain,-0.17993609081126416,0.4250058898189204,-0.10884515541641182,-0.21033239206656784,-0.09859410702628768,1.0,-0.3289179837684937,-0.3324160266934939,0.04248583254645133,-0.16590704149746816,-0.28508736894182807,0.06302319953996904,-0.20098790586129844,-0.1333722563414177,-0.2508919494308677,0.3337164018790604
Indonesia,-0.13704314115946503,-0.5175475662505435,0.012694563116458113,-0.04680964394899423,0.13017437069078053,-0.3289179837684937,1.0,0.5110640302077615,-0.17818432104825832,-0.2186179812014566,0.6401386267312518,-0.29837465191535584,0.24842486807057795,0.08638534592688629,0.35610248000576217,-0.4474533083333567
Japan,-0.13214746532084343,-0.5496628997077404,0.12001131866401127,0.04865095285373666,0.23963748993229372,-0.3324160266934939,0.5110640302077615,1.0,-0.46057870645718,-0.17906810691852382,0.6772622020709083,-0.29986758707602545,0.3126959536682302,0.2013165501506019,0.4189838078053896,-0.47102984347264876
Malaysia,-0.2697705491538147,0.3417001519811851,-0.32225424508219525,-0.36937776103251885,-0.37828174122838254,0.04248583254645133,-0.17818432104825832,-0.46057870645718,1.0,-0.16917057434985971,-0.5645015157986881,0.5649573007811616,-0.10799744097825026,-0.4581914926463371,-0.37749944980876293,0.19810814369494167
Mexico,0.29775593892402274,-0.13035141827341445,0.026400509008457806,0.33912739761340394,-0.08554673914371569,-0.16590704149746816,-0.2186179812014566,-0.17906810691852382,-0.16917057434985971,1.0,-0.1660294490954748,-0.1811993220470589,-0.13117036574215613,0.05460399855164866,-0.14463016017150343,0.018542645741651653
Russia,-0.041002488192313,-0.610866303819708,0.13359657649533874,0.10013606958087218,0.3358843910320878,-0.28508736894182807,0.6401386267312518,0.6772622020709083,-0.5645015157986881,-0.1660294490954748,1.0,-0.4745669779015931,0.23998696413266463,0.29510018712758956,0.5324677675391554,-0.495727931602572
Singapore,-0.25668220688310805,0.33719804209040294,-0.3050608232149561,-0.3215098663686815,-0.32631623876998095,0.06302319953996904,-0.29837465191535584,-0.29986758707602545,0.5649573007811616,-0.1811993220470589,-0.4745669779015931,1.0,-0.115612440490378,-0.3725844923073327,-0.3785459449457804,0.18010932906331012
South Korea,-0.16094401655049295,-0.32945661998804776,-0.05114447721415538,-0.12849570496124407,-0.015264766271990915,-0.20098790586129844,0.24842486807057795,0.3126959536682302,-0.10799744097825026,-0.13117036574215613,0.23998696413266463,-0.115612440490378,1.0,-0.034974915375475035,0.09111481891151363,-0.275975087933078
Spain,0.20017382508396153,-0.3423556167262547,0.12168753040262026,0.25108751254848083,0.2882714240048203,-0.1333722563414177,0.08638534592688629,0.2013165501506019,-0.4581914926463371,0.05460399855164866,0.29510018712758956,-0.3725844923073327,-0.034974915375475035,1.0,0.20982354282060023,-0.3236488386816714
Turkey,-0.06210403379670093,-0.4296044269697228,0.03903992252759236,0.030505971560625733,0.2446015866461938,-0.2508919494308677,0.35610248000576217,0.4189838078053896,-0.37749944980876293,-0.14463016017150343,0.5324677675391554,-0.3785459449457804,0.09111481891151363,0.20982354282060023,1.0,-0.41777741429338033
United States,-0.15866855265962276,0.5429888888353906,-0.21211852612601412,-0.20420369349115086,-0.2623613071146742,0.3337164018790604,-0.4474533083333567,-0.47102984347264876,0.19810814369494167,0.018542645741651653,-0.495727931602572,0.18010932906331012,-0.275975087933078,-0.3236488386816714,-0.41777741429338033,1.0
