,Argentina,Australia,Brazil,Chile,France,Great Britain,Indonesia,Japan,Malaysia,Mexico,Russia,Singapore,South Korea,Spain,Turkey,United States
Argentina,1.0,-0.11433610682686934,0.1769173687301293,0.3939186059505626,-0.061345090242631795,-0.1691530890673303,-0.19920772098708195,-0.22437150227145208,-0.28997371678110007,0.2723514562471899,-0.08055443037000809,-0.20966715156494975,-0.201422842637889,0.1635915134975222,-0.09868349504667662,-0.1258061425741961
Australia,-0.11433610682686934,1.0,-0.18316629866616996,-0.21693945866944686,-0.18152883904823436,0.3272786580633541,-0.42124163349509436,-0.3694083308486873,0.1800086400222114,-0.19258554097725766,-0.48793018109026143,0.23749888710126965,-0.24214879448590998,-0.21354393767555768,-0.27776537348201624,0.45026895934359
Brazil,0.1769173687301293,-0.18316629866616996,1.0,0.12196555224080086,-0.009614683353504239,-0.09144969369983613,0.0122844160572525,0.04038954475310419,-0.27893277920566506,-0.02383473287032789,0.1024004427647458,-0.25989157660674955,-0.08731596151903354,0.07230840577756015,-0.03172250164179058,-0.19253816937651025
Chile,0.3939186059505626,-0.21693945866944686,0.12196555224080086,1.0,-0.03657475332842286,-0.14270839216382192,-0.12930395696234598,-0.08577729899200515,-0.3275081835128246,0.3478422313478746,-0.015012711343986851,-0.25536254041606554,-0.2050345606988484,0.19445874091047677,-0.07814614984078894,-0.14241346111248854
France,-0.061345090242631795,-0.18152883904823436,-0.009614683353504239,-0.03657475332842286,1.0,-0.016455120019259528,0.029158376645368356,0.09748810169555067,-0.291439587940318,-0.10030008236052712,0.24466472541897755,-0.2547247319846093,-0.12086618958613204,0.23237712533646349,0.13634094020860577,-0.1424814147867579
Great Britain,-0.1691530890673303,0.3272786580633541,-0.09144969369983613,-0.14270839216382192,-0.016455120019259528,1.0,-0.23383791489807315,-0.19773556880176835,-0.06866660642655531,-0.205506585104811,-0.1601219565423624,0.0005845628859331153,-0.1526223046899695,-0.03702452679884449,-0.16732635661535578,0.238016469648216
Indonesia,-0.19920772098708195,-0.42124163349509436,0.0122844160572525,-0.12930395696234598,0.029158376645368356,-0.23383791489807315,1.0,0.36409261364840473,-0.028780021643207032,-0.15926307965708175,0.5388890667554376,-0.23440109226656425,0.16082519933011064,-0.05144708239751172,0.20489201759221487,-0.31442786806659817
Japan,-0.22437150227145208,-0.3694083308486873,0.04038954475310419,-0.08577729899200515,0.09748810169555067,-0.19773556880176835,0.36409261364840473,1.0,-0.2682289857566542,-0.17332967462057502,0.47569199079914837,-0.12619699377142446,0.21536566939167068,-0.006820021051560099,0.20586956917716281,-0.2993652638216344
Malaysia,-0.28997371678110007,0.1800086400222114,-0.27893277920566506,-0.3275081835128246,-0.291439587940318,-0.06866660642655531,-0.028780021643207032,-0.2682289857566542,1.0,-0.2069665219247958,-0.44061941698439955,0.5102216286758142,0.01868494853343372,-0.3487608664747053,-0.2175547741175179,0.036494997804940144
Mexico,0.2723514562471899,-0.19258554097725766,-0.02383473287032789,0.3478422313478746,-0.10030008236052712,-0.205506585104811,-0.15926307965708175,-0.17332967462057502,-0.2069665219247958,1.0,-0.11925075064375501,-0.20902055717454937,-0.10892951335750456,0.060798588391176134,-0.12028219918500316,-0.011817769871894868
Russia,-0.08055443037000809,-0.48793018109026143,0.1024004427647458,-0.015012711343986851,0.24466472541897755,-0.1601219565423624,0.5388890667554376,0.47569199079914837,-0.44061941698439955,-0.11925075064375501,1.0,-0.402379333028382,0.11356467378373414,0.12262541574898977,0.37231639676096995,-0.3342928831808156
Singapore,-0.20966715156494975,0.23749888710126965,-0.25989157660674955,-0.25536254041606554,-0.2547247319846093,0.0005845628859331153,-0.23440109226656425,-0.12619699377142446,0.5102216286758142,-0.20902055717454937,-0.402379333028382,1.0,-0.03057545175566556,-0.307915601870528,-0.2900480057494734,0.05968709999283073
South Korea,-0.201422842637889,-0.24214879448590998,-0.08731596151903354,-0.2050345606988484,-0.12086618958613204,-0.1526223046899695,0.16082519933011064,0.21536566939167068,0.01868494853343372,-0.10892951335750456,0.11356467378373414,-0.03057545175566556,1.0,-0.15773435199361874,-0.02530488813658094,-0.17952300252492703
Spain,0.1635915134975222,-0.21354393767555768,0.07230840577756015,0.19445874091047677,0.23237712533646349,-0.03702452679884449,-0.05144708239751172,-0.006820021051560099,-0.3487608664747053,0.060798588391176134,0.12262541574898977,-0.307915601870528,-0.15773435199361874,1.0,0.06365413774391493,-0.22424408188506773
Turkey,-0.09868349504667662,-0.27776537348201624,-0.03172250164179058,-0.07814614984078894,0.13634094020860577,-0.16732635661535578,0.20489201759221487,0.20586956917716281,-0.2175547741175179,-0.12028219918500316,0.37231639676096995,-0.2900480057494734,-0.02530488813658094,0.06365413774391493,1.0,-0.2898360163241387
United States,-0.1258061425741961,0.45026895934359,-0.19253816937651025,-0.14241346111248854,-0.1424814147867579,0.238016469648216,-0.31442786806659817,-0.2993652638216344,0.036494997804940144,-0.011817769871894868,-0.3342928831808156,0.05968709999283073,-0.17952300252492703,-0.22424408188506773,-0.2898360163241387,1.0
