"destination","origin","iso_d","iso_o","col","csl","cnl","prox1","lp1","prox2","lp2","cl","cle","contig","comlang_off","comlang_ethno","dist","distcap","distw","distwces","shared_hist","area_d","pop_d","area_o","pop_o","GDP_o","GDP_d","GDP_percapita_o","GDP_percapita_d","m_stock","m_flow_sd_drop_neg","m_flow_sd_rev_neg","m_flow_mig_rate","m_flow_da_min_open","m_flow_da_min_closed","m_flow_da_pb_closed","CS_wvs","CS_euc_wvs","CS_foursquare","CS_euc_foursquare","CS_symm","CS_nonsymm_food_o","CS_nonsymm_food_d","origin_Argentina","origin_Australia","origin_Brazil","origin_Chile","origin_France","origin_Great.Britain","origin_Indonesia","origin_Japan","origin_Malaysia","origin_Mexico","origin_Russia","origin_Singapore","origin_South.Korea","origin_Spain","origin_Turkey","origin_United.States","destination_Argentina","destination_Australia","destination_Brazil","destination_Chile","destination_France","destination_Great.Britain","destination_Indonesia","destination_Japan","destination_Malaysia","destination_Mexico","destination_Russia","destination_Singapore","destination_South.Korea","destination_Spain","destination_Turkey","destination_United.States","log10_m_flow_da_pb_closed","log10_m_stock","log10_pop_o","log10_pop_d","log10_area_o","log10_area_d","log10_GDP_o","log10_GDP_d","log10_GDP_percapita_o","log10_GDP_percapita_d","log10_distwces","log10_distcap"
"Argentina","Australia","ARG","AUS",0,0.0205841604620218,0.0007999999797903,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.153625071048737,0.154682755470276,0,0,0,11801.36,11733.88,12044.57,12018.27,0,2766889,44780675,7686848,25203200,1450499018770.09,437813398163.19,58868.48063,12716.2242,280,2,2,57,17,106,2225,0.257921271976687,0.361126578581271,0.100533369078538,0.659927539222365,-0.114336106826869,-0.255347503615535,0.318566522267763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34733001531695,2.44715803134222,7.40145568578599,7.65109063561563,6.88574829339997,6.44199173678662,12.1615174393483,11.641289047911,4.76988282700425,4.10435817636482,4.07984195655798,4.06944164246184
"Argentina","Brazil","ARG","BRA",0,0.0605287216603756,0.0007999999797903,0.75,5.83759927749634,0.424397647380829,3.80263757705688,0.497703820466995,0.501142799854279,1,0,0,1691.067,2353.257,2391.846,2089.281,0,2766889,44780675,8511920,211049519,2364445788869.69,437813398163.19,8592.210218,12716.2242,49648,476,476,9998,2333,1,10768,0.7688173073309,0.919551069207198,0.840262155693444,0.772091495664375,0.176917368730129,0.217245630437063,0.10779643147495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0321350468799,4.69590175824009,8.32438436669709,7.65109063561563,6.93002753321674,6.44199173678662,12.3737293611238,11.641289047911,3.93410489398404,4.10435817636482,3.31999685479233,3.37166935921467
"Argentina","Chile","ARG","CHL",1,0.980100035667419,0.854399979114532,0,0,0,0,0.873441278934479,0.872565388679504,1,1,1,1128.317,1128.317,1156.726,941.6383,0,2766889,44780675,756945,18952035,285037020831.58,437813398163.19,13761.37447,12716.2242,216856,2080,2080,43667,13876,53605,84214,-0.989918894219622,0.808132315408665,0.954876904690158,0.909373863817448,0.393918605950563,0.409019423067681,0.466729984409346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92538429598099,5.3361714427672,7.27765584975633,7.65109063561563,5.8790643245935,6.44199173678662,11.4549012701794,11.641289047911,4.13866181289117,4.10435817636482,2.97388411459789,3.05243113157074
"Argentina","France","ARG","FRA",0,0.133927807211876,0.0103923194110394,0.5,3.89173293113708,0.254505813121796,2.28039288520813,0.305518478155136,0.307560980319977,0,0,0,11072.25,11072.25,10932.34,10921.86,0,2766889,44780675,547026,65129731,2971919320115.83,437813398163.19,38832.0242,12716.2242,8304,80,80,1673,468,157,3049,0.169769777972541,0.580290475101917,0.874157276121538,0.833425848836808,-0.0613450902426318,-0.219271290169847,-0.410867663357671,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48415742436538,3.91928734050438,7.81377928444682,7.65109063561563,5.73800796872499,6.44199173678662,12.4730370152823,11.641289047911,4.58919002963895,4.10435817636482,4.03829660530544,4.04423588314544
"Argentina","Great Britain","ARG","GBR",0,0.0832515209913254,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,11147.48,11147.48,11136.96,11128.22,0,2766889,44780675,244110,67530161,2913556871434.81,437813398163.19,47491.59456,12716.2242,960,9,9,194,46,127,1560,0.322971578807708,0.358416601342605,0.626318808373603,0.678378138909011,-0.16915308906733,-0.366881491109128,-0.20727952754713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19312459835446,2.98227123303957,7.82949778513153,7.65109063561563,5.38758557071528,6.44199173678662,12.464423499759,11.641289047911,4.67661675153576,4.10435817636482,4.04642570287917,4.04717670184269
"Argentina","Indonesia","ARG","IDN",0,0,0,0,0,0.0743691548705101,0.666353702545166,0.0871444642543793,0.0877475738525391,0,0,0,15235.78,15235.78,15581.88,15568.05,0,2766889,44780675,1933658,270625567,1204457195676.25,437813398163.19,3892.421662,12716.2242,22,1,1,5,2,5,8,0.465690503097933,0.63162962626043,-0.879328410484142,0.338383911126245,-0.199207720987082,-0.317599385488371,-0.677962090228159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903089986991944,1.34242268082221,8.43236882360862,7.65109063561563,6.28637966424184,6.44199173678662,12.0807913705345,11.641289047911,3.59021988081537,4.10435817636482,4.19223421775272,4.18286469295479
"Argentina","Japan","ARG","JPN",0,0,0,0,0,0.0689622163772583,0.617907047271729,0.080808699131012,0.0813679695129395,0,0,0,18372.04,18372.04,18310.16,18297.72,0,2766889,44780675,377801,126860299,6187013947904.92,437813398163.19,36043.7844,12716.2242,4532,44,44,913,218,272,1231,-0.367292972417704,0.353782000722296,-0.971927789325162,0.434628583082145,-0.224371502271452,-0.517957197667551,-0.815935830168993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09025805293132,3.65628990119136,8.10332573066145,7.65109063561563,5.57726310311971,6.44199173678662,12.7914810950876,11.641289047911,4.55683038324356,4.10435817636482,4.26239697753874,4.26415738230219
"Argentina","Malaysia","ARG","MYS",0,0,0,0,0,0.0840988308191299,0.753532350063324,0.0985455140471458,0.0992275476455688,0,0,0,15970.66,15970.66,16333.03,16320.67,0,2766889,44780675,329758,31949789,398946603155.68,437813398163.19,11114.54271,12716.2242,3,1,1,1,1,1,2,-0.620184293112244,0.796532403809299,-0.775878033877009,0.20364314548462,-0.2899737167811,-0.828871973880408,-0.263882650037565,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0.477121254719662,7.50446799437429,7.65109063561563,5.51819534042374,6.44199173678662,11.6009147716098,11.641289047911,4.04589159905399,4.10435817636482,4.21273798354347,4.20332286406806
"Argentina","Mexico","ARG","MEX",1,0.980100035667419,0.883199989795685,0,0,0,0,0.898474872112274,0.897772252559662,0,1,1,7397.651,7397.651,7533.986,7460.572,0,2766889,44780675,1967210,127575529,1309881765941.94,437813398163.19,10013.72425,12716.2242,1476,14,14,298,1,1,2018,0.965394028529442,0.813822752623886,0.885632778441339,0.815711464949815,0.27235145624719,0.309985593453363,0.344139098799377,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30492116190089,3.16908635748702,8.10576737783754,7.65109063561563,6.29385072340338,6.44199173678662,12.1172320966356,11.641289047911,4.00059562797039,4.10435817636482,3.87277212598747,3.86909383869208
"Argentina","Russia","ARG","RUS",0,0.00039999998989515,0,0.25,1.94586646556854,0.102731950581074,0.920486629009247,0.120379477739334,0.121212609112263,0,0,0,13505.36,13505.36,14195.33,14105.4,0,2766889,44780675,17075400,145872260,1779170276409.99,437813398163.19,9958.469727,12716.2242,1918,19,21,387,73,2,276,-0.896528931383415,0.682295776739545,-0.825307261249832,0.606659204846388,-0.0805544303700081,-0.156492247013108,-0.6945572278413,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44090908206522,3.28284860283464,8.16397271153462,7.65109063561563,7.23237088604365,6.44199173678662,12.2502175144507,11.641289047911,3.998192607482,4.10435817636482,4.1493854063602,4.13050616526762
