"destination","origin","iso_d","iso_o","col","csl","cnl","prox1","lp1","prox2","lp2","cl","cle","contig","comlang_off","comlang_ethno","dist","distcap","distw","distwces","shared_hist","area_d","pop_d","area_o","pop_o","GDP_o","GDP_d","GDP_percapita_o","GDP_percapita_d","m_stock","m_flow_sd_drop_neg","m_flow_sd_rev_neg","m_flow_mig_rate","m_flow_da_min_open","m_flow_da_min_closed","m_flow_da_pb_closed","CS_wvs","CS_euc_wvs","CS_foursquare","CS_euc_foursquare"
"Argentina","Australia","ARG","AUS",0,0.0205841604620218,0.0007999999797903,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.153625071048737,0.154682755470276,0,0,0,11801.36,11733.88,"12044.57","12018.27",0,2766889,44780675,7686848,25203200,1450499018770.09,437813398163.19,58868.48063,12716.2242,279,1,1,56,16,105,2224,0.257921271976687,0.361126578581271,0.100533369078538,0.659927539222365
"Argentina","Brazil","ARG","BRA",0,0.0605287216603756,0.0007999999797903,0.75,5.83759927749634,0.424397647380829,3.80263757705688,0.497703820466995,0.501142799854279,1,0,0,1691.067,2353.257,"2391.846","2089.281",0,2766889,44780675,8511920,211049519,2364445788869.69,437813398163.19,8592.210218,12716.2242,49647,475,475,9997,2332,0,10767,0.7688173073309,0.919551069207198,0.840262155693444,0.772091495664375
"Argentina","Chile","ARG","CHL",1,0.980100035667419,0.854399979114532,0,0,0,0,0.873441278934479,0.872565388679504,1,1,1,1128.317,1128.317,"1156.726","941.6383",0,2766889,44780675,756945,18952035,285037020831.58,437813398163.19,13761.37447,12716.2242,216855,2079,2079,43666,13875,53604,84213,-0.989918894219622,0.808132315408665,0.954876904690158,0.909373863817448
"Argentina","France","ARG","FRA",0,0.133927807211876,0.0103923194110394,0.5,3.89173293113708,0.254505813121796,2.28039288520813,0.305518478155136,0.307560980319977,0,0,0,11072.25,11072.25,"10932.34","10921.86",0,2766889,44780675,547026,65129731,2971919320115.83,437813398163.19,38832.0242,12716.2242,8303,79,79,1672,467,156,3048,0.169769777972541,0.580290475101917,0.874157276121538,0.833425848836808
"Argentina","Great Britain","ARG","GBR",0,0.0832515209913254,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,11147.48,11147.48,"11136.96","11128.22",0,2766889,44780675,244110,67530161,2913556871434.81,437813398163.19,47491.59456,12716.2242,959,8,8,193,45,126,1559,0.322971578807708,0.358416601342605,0.626318808373603,0.678378138909011
"Argentina","Indonesia","ARG","IDN",0,0,0,0,0,0.0743691548705101,0.666353702545166,0.0871444642543793,0.0877475738525391,0,0,0,15235.78,15235.78,"15581.88","15568.05",0,2766889,44780675,1933658,270625567,1204457195676.25,437813398163.19,3892.421662,12716.2242,21,0,0,4,1,4,7,0.465690503097933,0.63162962626043,-0.879328410484142,0.338383911126245
"Argentina","Japan","ARG","JPN",0,0,0,0,0,0.0689622163772583,0.617907047271729,0.080808699131012,0.0813679695129395,0,0,0,18372.04,18372.04,"18310.16","18297.72",0,2766889,44780675,377801,126860299,6187013947904.92,437813398163.19,36043.7844,12716.2242,4531,43,43,912,217,271,1230,-0.367292972417704,0.353782000722296,-0.971927789325162,0.434628583082145
"Argentina","Malaysia","ARG","MYS",0,0,0,0,0,0.0840988308191299,0.753532350063324,0.0985455140471458,0.0992275476455688,0,0,0,15970.66,15970.66,"16333.03","16320.67",0,2766889,44780675,329758,31949789,398946603155.68,437813398163.19,11114.54271,12716.2242,2,0,0,0,0,0,1,-0.620184293112244,0.796532403809299,-0.775878033877009,0.20364314548462
"Argentina","Mexico","ARG","MEX",1,0.980100035667419,0.883199989795685,0,0,0,0,0.898474872112274,0.897772252559662,0,1,1,7397.651,7397.651,"7533.986","7460.572",0,2766889,44780675,1967210,127575529,1309881765941.94,437813398163.19,10013.72425,12716.2242,1475,13,13,297,0,0,2017,0.965394028529442,0.813822752623886,0.885632778441339,0.815711464949815
"Argentina","Russia","ARG","RUS",0,0.00039999998989515,0,0.25,1.94586646556854,0.102731950581074,0.920486629009247,0.120379477739334,0.121212609112263,0,0,0,13505.36,13505.36,"14195.33","14105.4",0,2766889,44780675,17075400,145872260,1779170276409.99,437813398163.19,9958.469727,12716.2242,1917,18,20,386,72,1,275,-0.896528931383415,0.682295776739545,-0.825307261249832,0.606659204846388
"Argentina","Singapore","ARG","SGP",0,0,0,0.0599999986588955,0.46700793504715,0.0918117761611938,0.822641015052795,0.107583418488503,0.108327984809875,0,0,0,15891.11,15891.11,"16120.1","16110.5",0,2766889,44780675,646,5804343,338646194792.89,437813398163.19,61386.23615,12716.2242,2,0,0,0,0,0,1,-0.913184903399715,0.835245501694618,-0.689953871005846,0.349549801599435
"Argentina","South Korea","ARG","KOR",0,0,0,0,0,0,0,0,0,0,0,0,19447.35,19447.35,"19146.65","19137.75",0,2766889,44780675,99484,51225321,1482760164322.84,437813398163.19,31640.21463,12716.2242,8296,78,78,1671,419,485,1472,-0.979152404394633,0.446275642212012,-0.855359607448909,0.39940835681422
"Argentina","Spain","ARG","ESP",1,0.980139851570129,0.854458212852478,0,0,0,0,0.873491883277893,0.872616350650787,0,1,1,10065.85,10065.85,"10079.66","10055.9",1,2766889,44780675,505954,46736782,1572012697558.03,437813398163.19,28087.89792,12716.2242,99769,956,956,20090,6434,5516,49532,0.110066560854012,0.554553890051585,0.796691270902396,0.79735379895766
"Argentina","Turkey","ARG","TUR",0,0.0015999999595806,0,0,0,0.10965658724308,0.9825319647789,0.128493651747704,0.129382938146591,0,0,0,12268.67,12502.27,"12474.38","12462.04",0,2766889,44780675,780576,83429607,1261946143648.6,437813398163.19,11935.38787,12716.2242,646,6,6,130,20,0,132,0.0832160543605939,0.748877567483017,-0.587302684249495,0.503843854015021
"Argentina","United States","ARG","USA",0,0.159409925341606,0.144000008702278,0.212500005960464,1.6539865732193,0.110946655273438,0.994091093540192,0.255284577608109,0.256054759025574,0,0,1,8542.694,8403.226,"8678.352","8608.022",0,2766889,44780675,9529106,329064917,18349108235210.1,437813398163.19,60698.0113,12716.2242,5225,49,49,1052,4637,1,24919,0.167930231286253,0.551371401740003,0.877399567966677,0.759301792526365
"Australia","Argentina","AUS","ARG",0,0.0205841604620218,0.0007999999797903,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.153625071048737,0.154682755470276,0,0,0,11801.36,11733.88,"12044.57","12018.27",0,7686848,25203200,2766889,44780675,437813398163.19,1450499018770.09,12716.2242,58868.48063,17583,2390,2390,3178,2939,2899,5017,0.257921271976687,0.361126578581271,0.100533369078538,0.659927539222365
"Australia","Brazil","AUS","BRA",0,0.00159951997920871,0.00039999998989515,0.25,1.94586646556854,0.0971352532505989,0.870339751243591,0.114175833761692,0.11496327072382,0,0,0,13371.76,14070.8,"14046.75","13983.36",0,7686848,25203200,8511920,211049519,2364445788869.69,1450499018770.09,8592.210218,58868.48063,42552,16531,16531,5489,17390,11725,15624,-0.419538333554789,0.298629618083487,-0.454959088886378,0.438370849228185
"Australia","Chile","AUS","CHL",0,0.0197999998927116,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,11353.72,11326.56,"11611.42","11568.01",0,7686848,25203200,756945,18952035,285037020831.58,1450499018770.09,13761.37447,58868.48063,33707,4136,4136,6184,5486,11343,14443,-0.118477853928043,0.32912568748119,-0.199500150035042,0.573362006142864
"Australia","France","AUS","FRA",0,0.351933389902115,0.000499959976878017,0.25,1.94586646556854,0.141529113054276,1.26811242103577,0.166258364915848,0.167405545711517,0,0,0,16975.46,16938.09,"16513.02","16464.9",0,7686848,25203200,547026,65129731,2971919320115.83,1450499018770.09,38832.0242,58868.48063,40733,4799,4799,7513,6367,3757,10915,0.995928068089759,0.758070064181528,0.5710644881986,0.718889154538317
"Australia","Great Britain","AUS","GBR",1,0.960379421710968,0.643999993801117,0,0,0,0,0.69055700302124,0.68841540813446,0,1,1,17011.27,17001.95,"16602.27","16563.96",1,7686848,25203200,244110,67530161,2913556871434.81,1450499018770.09,47491.59456,58868.48063,1262204,79089,79089,247112,111005,10727,177045,0.997689053875925,0.953363091358715,0.838583436869571,0.761153344695226
"Australia","Indonesia","AUS","IDN",0,0,0,0,0,0.0664010643959045,0.594958961009979,0.0778075903654099,0.0783460810780525,0,0,0,5511.902,5410.656,"5077.672","4883.979",0,7686848,25203200,1933658,270625567,1204457195676.25,1450499018770.09,3892.421662,58868.48063,87274,11852,11852,15777,14392,21306,31988,-0.734894794984597,0,-0.562205050325274,0.374071167431455
"Australia","Japan","AUS","JPN",0,0.116400003433228,0,0,0,0.0597609132528305,0.53546267747879,0.0700267851352692,0.0705114305019379,0,0,0,7831.446,7958.28,"7827.079","7789.92",0,7686848,25203200,377801,126860299,6187013947904.92,1450499018770.09,36043.7844,58868.48063,53175,6576,6576,9745,8136,8084,15655,0.803903389603864,0.60322174650277,0.136376175608574,0.608923055562478
"Australia","Malaysia","AUS","MYS",0,0.267657190561295,0.0126600991934538,0,0,0.0622671134769917,0.557918429374695,0.0846998766064644,0.0851984545588493,0,0,0,6617.087,6532.159,"6084.2","5956.039",0,7686848,25203200,329758,31949789,398946603155.68,1450499018770.09,11114.54271,58868.48063,174136,33866,33866,29386,37874,31738,50880,-0.917873527439507,0.247063316344056,-0.70568831649116,0.198226161902011
"Australia","Mexico","AUS","MEX",0,0.0673397034406662,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,12985.17,13185.67,"13430.11","13362.18",0,7686848,25203200,1967210,127575529,1309881765941.94,1450499018770.09,10013.72425,58868.48063,6760,1491,1491,1104,0,1263,2018,-0.00297621514775616,0.272810064515753,-0.372997868993497,0.4796057159453
"Australia","Russia","AUS","RUS",0,0.0485000014305115,0,0.25,1.94586646556854,0.15281730890274,1.36925554275513,0.179068610072136,0.180307924747467,0,0,0,14503.07,14491.46,"13424.9","13270.88",0,7686848,25203200,17075400,145872260,1779170276409.99,1450499018770.09,9958.469727,58868.48063,28735,3494,3496,5278,4011,0,3349,-0.659231079766325,0.193941196511169,0.478852130680573,0.764428576284227
